,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),0.0878940614657351,0.129365155209341,0.679426089069375,0.497717121570735
siteLEH,-0.359091496491525,0.226627870659337,-1.58449839133557,0.114788255654953
siteNYR,-0.00802213936203507,0.18796321279099,-0.0426793053966121,0.96600320470404
siteSAA,-0.0638445242990827,0.232217560367612,-0.274934092830937,0.78367367467422
siteTEE,-0.20646102993051,0.258730310418682,-0.797977746002824,0.425906508202236
