parameter,outer_width,inner_width,point_est,ll,l,m,h,hh,model
b_scaletotal_load,0.95,0.8,median,-0.27,-0.25,-0.21,-0.17,-0.14,GERP
b_scaletotal_load,0.95,0.8,median,-0.18,-0.16,-0.11,-0.06,-0.04,SnpEff
