parameter	outer_width	inner_width	point_est	ll	l	m	h	hh	model
b_scalehigh_Lt_additive	0.95	0.8	median	-0.09778019113298966	-0.07319251225147862	-0.019909193906247173	0.03226479087573051	0.05772677545288096	Total
b_scalehigh_Lr	0.95	0.8	median	-0.10215541532837528	-0.06857349618477623	-0.0037668501587769096	0.05997129684328584	0.08827058205689994	Expressed
b_scalehigh_Lp	0.95	0.8	median	-0.1452076151626621	-0.10760322777396247	-0.03888685704130842	0.023161161427551365	0.057599269398983556	Masked
