parameter	outer_width	inner_width	point_est	ll	l	m	h	hh
r_site:id[KUM_D229635,Intercept]	0.95	0.8	median	-0.838826940691693	-0.538459064983299	-0.12956084380328586	0.32305141847850505	0.5617614202890766
r_site:id[KUM_D229658,Intercept]	0.95	0.8	median	-0.7215312486810972	-0.5354750614206258	-0.1743482629359705	0.157346867379011	0.3515492540495515
r_site:id[KUM_D229679,Intercept]	0.95	0.8	median	-0.2160642434058435	-0.014309985897569667	0.34906603182731355	0.7436399688245314	0.9458990089938494
r_site:id[KUM_D229721,Intercept]	0.95	0.8	median	-0.5581436936649941	-0.36230091539923365	0.031158341876061462	0.4232168001230332	0.6386125447712669
r_site:id[KUM_D229734,Intercept]	0.95	0.8	median	-0.7778113639039178	-0.5479094976754914	-0.15473266903040434	0.2395591111839567	0.45617292356929967
r_site:id[KUM_D229735,Intercept]	0.95	0.8	median	-0.48147602592444527	-0.2735093210720398	0.12301058258091392	0.5105209994281523	0.7441688235298349
r_site:id[KUM_D229737,Intercept]	0.95	0.8	median	-0.0726725612101861	0.10209719194070181	0.5028466294083006	0.9226103133244588	1.1436288502209953
r_site:id[KUM_D237206,Intercept]	0.95	0.8	median	-0.8250174609546874	-0.610428875194805	-0.1897401430734462	0.18294491013780012	0.39391888053648455
r_site:id[KUM_D237235,Intercept]	0.95	0.8	median	-0.3185262048090596	-0.09524645415012682	0.32840187232330753	0.8004915785311093	1.0879536722292866
r_site:id[KUM_D237258,Intercept]	0.95	0.8	median	-0.4925630419142411	-0.32290310216995877	-0.0059480644382396	0.3128723669051035	0.49627208320409305
r_site:id[KUM_D237310,Intercept]	0.95	0.8	median	-0.8040148286321632	-0.56704839701398	-0.16629910220414088	0.22147431709377913	0.4373248463793932
r_site:id[KUM_D237311,Intercept]	0.95	0.8	median	-0.7025448820538522	-0.48114343394532866	-0.08711855782314246	0.29482357070223064	0.5119133436148254
r_site:id[KUM_D237313,Intercept]	0.95	0.8	median	-0.3808692143568589	-0.19185605520293983	0.14918090311786816	0.48371594795700523	0.6620921675503068
r_site:id[KUM_D237325,Intercept]	0.95	0.8	median	-0.2991918210494807	-0.09363480159016056	0.32300987722169927	0.7497538634214153	0.9692099648255971
r_site:id[KUM_D237327,Intercept]	0.95	0.8	median	-0.47678437043885985	-0.24233709410422294	0.13134186886161775	0.546982903307728	0.7526122912994244
r_site:id[KUM_D237337,Intercept]	0.95	0.8	median	-0.6154546787350599	-0.41135760318885917	-0.04219701657724316	0.3214940795979479	0.5060483274477141
r_site:id[KUM_D237339,Intercept]	0.95	0.8	median	-0.29169805322620024	-0.10808440971723206	0.26124176584271763	0.6379573422348881	0.8575336913252876
r_site:id[KUM_D237340,Intercept]	0.95	0.8	median	-0.1897942614103893	0.0021010688427847172	0.3337080777818283	0.7188645346896534	0.895799856372887
r_site:id[KUM_D237389,Intercept]	0.95	0.8	median	-0.43810666996321856	-0.21170672060270668	0.1901080500270142	0.6517834139266587	0.8739400906638936
r_site:id[KUM_D243930,Intercept]	0.95	0.8	median	-0.4208550693183883	-0.24222099580783735	0.09726289405039523	0.4520106065835559	0.6442126060669107
r_site:id[KUM_D243937,Intercept]	0.95	0.8	median	-1.028781488662272	-0.7797499406272986	-0.35232453071490805	0.06139751507631881	0.24886004491880134
r_site:id[KUM_D243940,Intercept]	0.95	0.8	median	-0.6393981899995753	-0.4192794773536135	-1.1355668068710798e-4	0.4131120150801743	0.6247862725454046
r_site:id[KUM_D244017,Intercept]	0.95	0.8	median	-0.45403047456599105	-0.2182762778869691	0.17305136727869408	0.6361205015834062	0.8838197600358287
r_site:id[KUM_D244112,Intercept]	0.95	0.8	median	-0.44536009398311466	-0.24243436943816848	0.13963409842625477	0.528341083240738	0.756727813661752
r_site:id[KUM_D244139,Intercept]	0.95	0.8	median	-0.2829117620732167	-0.060226175900126994	0.38263880064751676	0.8736439021700682	1.1526804741002137
r_site:id[KUM_D244143,Intercept]	0.95	0.8	median	-0.74541887061012	-0.4696710382725039	-0.058451977499450504	0.3304856256272227	0.5848780264551378
r_site:id[KUM_D244144,Intercept]	0.95	0.8	median	-0.5660230808734446	-0.30349770946710203	0.11529938629941924	0.5288920854109976	0.7911669688839998
r_site:id[KUM_D244147,Intercept]	0.95	0.8	median	-0.8079996220393626	-0.6044413639931784	-0.1456744987647179	0.23913544224340738	0.42125492916641805
r_site:id[KUM_D244183,Intercept]	0.95	0.8	median	-0.6805375736275587	-0.47037434220121327	-0.10501465659872458	0.26282166732893836	0.4388373998039929
r_site:id[KUM_D244186,Intercept]	0.95	0.8	median	-0.6509252348867962	-0.48893209290680406	-0.12470769136541585	0.21978395417028618	0.39059264458583376
r_site:id[LEH_D211334,Intercept]	0.95	0.8	median	-0.2763700417741198	-0.09251680127573547	0.2596571487498488	0.6705085244256273	0.8711472381365158
r_site:id[LEH_D211489,Intercept]	0.95	0.8	median	-0.5980231272277475	-0.39270025399309366	-0.02721406616497679	0.3302193203870085	0.5318224437653918
r_site:id[LEH_D211490,Intercept]	0.95	0.8	median	-0.7204617705292727	-0.47419021089862967	-0.08153718215247949	0.3059362643469366	0.5352711542715897
r_site:id[LEH_D217891,Intercept]	0.95	0.8	median	-0.40362020530742265	-0.18093734574186562	0.21878783262793117	0.6205529801231283	0.8346548966846699
r_site:id[LEH_D229032,Intercept]	0.95	0.8	median	-0.8821323396906933	-0.6697578457882939	-0.2898010888213638	0.05037394590036295	0.21381538897358954
r_site:id[LEH_D229051,Intercept]	0.95	0.8	median	-0.17219317108249935	-0.025532339614841998	0.310245742877832	0.675876129571078	0.8563752001686401
r_site:id[LEH_D229054,Intercept]	0.95	0.8	median	-0.9497023139901639	-0.7003674402774402	-0.28541132024904703	0.12447677100114282	0.3373122445596464
r_site:id[LEH_D229055,Intercept]	0.95	0.8	median	-0.4295182387071496	-0.2022864331115755	0.20512436907172032	0.678120614594388	0.937611833448695
r_site:id[LEH_D229056,Intercept]	0.95	0.8	median	-0.4111250286397103	-0.17074974738596377	0.23675597885488328	0.7183635927971663	0.952336037056382
r_site:id[LEH_D229133,Intercept]	0.95	0.8	median	-0.5209793432281908	-0.3234931710435875	0.00706834012364645	0.33740582874596736	0.5262145363135051
r_site:id[LEH_D229518,Intercept]	0.95	0.8	median	-0.7924686960039212	-0.5678145251317968	-0.12788832800825273	0.28045161772482874	0.5108850338174402
r_site:id[LEH_D229560,Intercept]	0.95	0.8	median	-0.832207876411122	-0.561113205794619	-0.11912825221623423	0.297562965087245	0.5298493267395639
r_site:id[LEH_D229630,Intercept]	0.95	0.8	median	-0.821848317914551	-0.5752497281565342	-0.12587397512856097	0.3002336788761097	0.5315908316825985
r_site:id[LEH_D229646,Intercept]	0.95	0.8	median	-0.45097878072247694	-0.25769574909622767	0.10003947449481121	0.4879774163629543	0.7057490415678062
r_site:id[LEH_D229648,Intercept]	0.95	0.8	median	-0.4542736366657182	-0.2460425042694051	0.15893708572980986	0.6042091784444333	0.8481007331976342
r_site:id[LEH_D229740,Intercept]	0.95	0.8	median	-0.7414754539018821	-0.5106402006749764	-0.12298716244072777	0.2521241192018708	0.4147707429370023
r_site:id[LEH_D229742,Intercept]	0.95	0.8	median	-0.4231591934147804	-0.20340480021155666	0.20637148649776477	0.6786906496609901	0.9207356243662894
r_site:id[LEH_D229776,Intercept]	0.95	0.8	median	-0.4331154339654768	-0.23008959793536785	0.1285154024972074	0.545811989270772	0.7145783780761937
r_site:id[LEH_D237300,Intercept]	0.95	0.8	median	-0.3720508292342391	-0.1458045471752225	0.26658033574986123	0.6914832996091833	0.9671145397330029
r_site:id[LEH_D237307,Intercept]	0.95	0.8	median	-0.7369023689652491	-0.49871722732789037	-0.10900898258017061	0.2724156444519926	0.5011989795016208
r_site:id[LEH_D243907,Intercept]	0.95	0.8	median	-0.8120544997821382	-0.5502618620513163	-0.11056102446820221	0.316471889980379	0.5108867952193121
r_site:id[LEH_D243950,Intercept]	0.95	0.8	median	-0.7639955438067361	-0.5375321748050074	-0.1266080310196271	0.26829913029702157	0.4805341318781959
r_site:id[LEH_D244001,Intercept]	0.95	0.8	median	-0.31863468622920565	-0.10889404605436132	0.28893861393112663	0.6919128352425632	0.918453771321986
r_site:id[LEH_D244042,Intercept]	0.95	0.8	median	-0.72757282452065275	-0.4867174368646538	-0.05633813023942389	0.352751679273667	0.5980717416758303
