parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
b_Intercept,0.95,0.8,median,0.28236531512627,0.347036756683045,0.454261278829276,0.571439125929092,0.649059232373559
r_site:id[KUM_D229721,Intercept],0.95,0.8,median,-0.391409226392628,-0.236622802349939,0.0783394441502354,0.415670148390238,0.595952072210703
r_site:id[KUM_D229734,Intercept],0.95,0.8,median,-0.399652959927198,-0.209055696353583,0.0917430258610899,0.422489444176247,0.639815864545803
r_site:id[KUM_D229735,Intercept],0.95,0.8,median,-0.859355571118497,-0.636788712202952,-0.240898201433303,0.0908140110324248,0.252619307665724
r_site:id[KUM_D229737,Intercept],0.95,0.8,median,-0.364203831999212,-0.194141073577858,0.108028934835525,0.426590241263353,0.603003225323483
r_site:id[KUM_D237206,Intercept],0.95,0.8,median,-0.799848037341403,-0.577951945555679,-0.207621915734294,0.112855588784438,0.285677000866426
r_site:id[KUM_D237235,Intercept],0.95,0.8,median,-0.414071530337326,-0.202828944206381,0.170636748787962,0.600210023281588,0.839720221976615
r_site:id[KUM_D237258,Intercept],0.95,0.8,median,-0.279453513842199,-0.120210461375121,0.159251231185427,0.485751603108266,0.656108476160351
r_site:id[KUM_D237310,Intercept],0.95,0.8,median,-0.824630135189496,-0.581188568649049,-0.211270245708936,0.112787894643473,0.291306623143105
r_site:id[KUM_D237311,Intercept],0.95,0.8,median,-0.300826523804677,-0.124843560740366,0.184764997539641,0.526128584573079,0.744073972095952
r_site:id[KUM_D237313,Intercept],0.95,0.8,median,-0.374384128091712,-0.214254659735966,0.0720494415774696,0.352421003088997,0.525262775268369
r_site:id[KUM_D237325,Intercept],0.95,0.8,median,-0.790036722773029,-0.582692763306,-0.205591360768004,0.133061498255917,0.303109203964872
r_site:id[KUM_D237327,Intercept],0.95,0.8,median,-0.563818928658899,-0.36133884839017,-0.0209857976631439,0.334131244983834,0.547595742402131
r_site:id[KUM_D237337,Intercept],0.95,0.8,median,-0.297346798215174,-0.12976025568907,0.163204440412894,0.499020235192431,0.697350844634295
r_site:id[KUM_D237339,Intercept],0.95,0.8,median,-0.458323147650646,-0.273935848020951,0.0299649049286729,0.360288022565479,0.557658545729723
r_site:id[KUM_D237340,Intercept],0.95,0.8,median,-0.447377604636429,-0.284340561696792,0.0240892660633554,0.330460553095728,0.505189194644852
r_site:id[KUM_D237389,Intercept],0.95,0.8,median,-0.453649507226878,-0.255907471235558,0.0871183267900232,0.45768761731281,0.687027771662946
r_site:id[KUM_D243930,Intercept],0.95,0.8,median,-0.512563597842682,-0.348062099149288,-0.0493497520204305,0.238291143417973,0.399669771019584
r_site:id[KUM_D243937,Intercept],0.95,0.8,median,-0.548887338636055,-0.344631918755162,-0.0167617195650423,0.294077217399138,0.478968835796854
r_site:id[KUM_D243940,Intercept],0.95,0.8,median,-0.628821135329673,-0.389540063325194,-0.0297341474600218,0.34114618885066,0.536341267895694
r_site:id[KUM_D244017,Intercept],0.95,0.8,median,-0.591736118025509,-0.404199320844764,-0.0622401291276418,0.243474229735654,0.416323503225734
r_site:id[KUM_D244112,Intercept],0.95,0.8,median,-0.406457726878073,-0.208899336878135,0.119387904720271,0.497365154964616,0.682824262834521
r_site:id[KUM_D244139,Intercept],0.95,0.8,median,-0.558619666264969,-0.367977625565826,0.0116243223342602,0.354059520287775,0.567669524189078
r_site:id[KUM_D244143,Intercept],0.95,0.8,median,-0.366650090566759,-0.199503401520895,0.157812987377163,0.576237061858901,0.821525761893029
r_site:id[KUM_D244144,Intercept],0.95,0.8,median,-0.551030359975005,-0.350406407357093,0.00800144684833923,0.38007198578926,0.598197592995907
r_site:id[KUM_D244147,Intercept],0.95,0.8,median,-0.53312987921625,-0.331446665026405,0.0152136902674844,0.372752157411614,0.549151722546091
r_site:id[KUM_D244183,Intercept],0.95,0.8,median,-0.46920628680996,-0.288788316621052,0.0161461205970511,0.311213201664103,0.486803935113148
r_site:id[KUM_D244186,Intercept],0.95,0.8,median,-0.432221297908984,-0.281836177221849,0.0222123144827516,0.322012873334827,0.493368755897515
r_site:id[LEH_D211334,Intercept],0.95,0.8,median,-0.338815936165391,-0.162380767341564,0.11915924051933,0.41778818115396,0.600154859649074
r_site:id[LEH_D211489,Intercept],0.95,0.8,median,-1.19298156469831,-0.980249326414764,-0.537132172821814,-0.11178740929781,0.0382850604987245
r_site:id[LEH_D211490,Intercept],0.95,0.8,median,-0.637845320031784,-0.418272122158306,-0.0649395121526734,0.263321564279613,0.460058058384961
r_site:id[LEH_D217891,Intercept],0.95,0.8,median,-0.380560830203313,-0.169790048791724,0.17942163253008,0.573489375590609,0.783541740929461
r_site:id[LEH_D229032,Intercept],0.95,0.8,median,-0.61379113605608,-0.416894218916749,-0.0783296498310928,0.200098676204625,0.352844943028111
r_site:id[LEH_D229051,Intercept],0.95,0.8,median,-0.593205020912005,-0.398642787884501,-0.0584518004311164,0.246633391366288,0.413810558099086
r_site:id[LEH_D229054,Intercept],0.95,0.8,median,-0.611718169902027,-0.433537959142642,-0.0642210322366414,0.281248191373583,0.483481966937595
r_site:id[LEH_D229055,Intercept],0.95,0.8,median,-0.358948183160983,-0.14928320097259,0.192840954116864,0.600007405720624,0.87841573222983
r_site:id[LEH_D229056,Intercept],0.95,0.8,median,-0.457116260531207,-0.27632371738011,0.0596166609702491,0.422102215483625,0.62834888421099
r_site:id[LEH_D229133,Intercept],0.95,0.8,median,-0.75729656386236,-0.570452960612868,-0.230151042480356,0.0738907872835177,0.226512912219374
r_site:id[LEH_D229518,Intercept],0.95,0.8,median,-0.38926695402357,-0.217268237484341,0.134995546651482,0.560472524879512,0.821656537165108
r_site:id[LEH_D229560,Intercept],0.95,0.8,median,-0.570807887979411,-0.367957508845686,0.021801229085366,0.376807661896248,0.610504799485729
r_site:id[LEH_D229630,Intercept],0.95,0.8,median,-0.674631239332421,-0.478592115500454,-0.111942222533939,0.233722657571486,0.425979552024669
