parameter,outer_width,inner_width,point_est,ll,l,m,h,hh,model
b_scaletotal_load,0.95,0.8,median,-0.16,-0.14,-0.08,-0.03,0.01,Loss of Function
b_scaletotal_load,0.95,0.8,median,-0.13,-0.11,-0.06,0,0.02,Missense
