parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
r_site:id[KUM_D229658,Intercept],0.95,0.8,median,-1.42787801698483,-1.00243141797127,-0.179990289029414,0.570120448877093,0.919387003686855
r_site:id[KUM_D229721,Intercept],0.95,0.8,median,-1.9547866661024,-1.5292112997859,-0.632773704498482,0.175048674328809,0.632366396412062
r_site:id[KUM_D229735,Intercept],0.95,0.8,median,-1.92129744388295,-1.26860636128973,-0.136035623911964,1.04147353868864,1.64586771910716
r_site:id[KUM_D229737,Intercept],0.95,0.8,median,-1.19061256003557,-0.692629948814469,0.178555480221795,0.985337330151255,1.407780492461
r_site:id[KUM_D237206,Intercept],0.95,0.8,median,-0.846589017372515,-0.410464010701394,0.383553915235475,1.18747339510741,1.57259669138541
r_site:id[KUM_D237235,Intercept],0.95,0.8,median,-2.06102279300174,-1.38621443400676,-0.181432484955215,0.982827300677089,1.57931862274091
r_site:id[KUM_D237258,Intercept],0.95,0.8,median,-2.62440180308112,-2.04145340462471,-0.987152523038601,-0.0278214171578912,0.644241818490037
r_site:id[KUM_D237310,Intercept],0.95,0.8,median,-2.13657057390439,-1.35400957842282,-0.108680272651662,1.01951820450717,1.64185184805846
r_site:id[KUM_D237311,Intercept],0.95,0.8,median,-2.04647476777464,-1.32075448997758,-0.173376994132362,0.965223662704294,1.60082328263144
r_site:id[KUM_D237313,Intercept],0.95,0.8,median,-2.03550051479913,-1.48998767920964,-0.456110002028421,0.637669752308949,1.2231042658757
r_site:id[KUM_D237325,Intercept],0.95,0.8,median,-2.00968389447244,-1.29204359796456,-0.0759009600495794,1.13814713870709,1.79812452723911
r_site:id[KUM_D237327,Intercept],0.95,0.8,median,-0.749297903980545,-0.19254851144372,0.675818821876588,1.55325357979451,2.01583076810628
r_site:id[KUM_D237337,Intercept],0.95,0.8,median,-1.00112371155242,-0.556390585822352,0.357788160910163,1.18133778468653,1.72556315158747
r_site:id[KUM_D237339,Intercept],0.95,0.8,median,-0.458933182229636,-0.0107406113215579,0.767861981746033,1.6117750233937,2.0118652457779
r_site:id[KUM_D237340,Intercept],0.95,0.8,median,-1.62868542309723,-1.06883321407761,-0.163948312739943,0.807056997071234,1.35211752699425
r_site:id[KUM_D237389,Intercept],0.95,0.8,median,-1.86472442996176,-1.25437940416355,-0.0642393415404708,1.05451945561944,1.70102301507947
r_site:id[KUM_D243930,Intercept],0.95,0.8,median,-2.4084225802535,-1.72938631678608,-0.570580978430229,0.486785456587691,0.978928273292012
r_site:id[KUM_D243937,Intercept],0.95,0.8,median,-2.10911156278453,-1.46193816940522,-0.27425447528803,0.906071973324975,1.58073963086864
r_site:id[KUM_D244017,Intercept],0.95,0.8,median,-2.19741305221928,-1.55829773086551,-0.342577360157001,0.96199143798783,1.82380407182678
r_site:id[KUM_D244112,Intercept],0.95,0.8,median,-2.00740914067535,-1.33608008111174,-0.0978363653034489,1.04315564391043,1.66604005269409
r_site:id[KUM_D244143,Intercept],0.95,0.8,median,-1.98514497172185,-1.38335662978797,-0.184819398065196,0.912598803353136,1.59134000631247
r_site:id[KUM_D244144,Intercept],0.95,0.8,median,-1.88029155582811,-1.29208302746826,-0.117495195432869,1.06101003906631,1.70352354178908
r_site:id[KUM_D244147,Intercept],0.95,0.8,median,-2.11983069747346,-1.40826001335168,-0.161570670549509,0.926330986529966,1.53303313640184
r_site:id[KUM_D244183,Intercept],0.95,0.8,median,-1.50919389679529,-1.08165840964879,-0.21568998939445,0.557537008712979,0.976367822701674
r_site:id[KUM_D244186,Intercept],0.95,0.8,median,0.29905845307711,0.621726225128151,1.2513665323957,1.89104754127145,2.23560770905126
r_site:id[LEH_D211334,Intercept],0.95,0.8,median,-2.35795955132706,-1.89114379268401,-1.04794479800126,-0.152802502860957,0.235705225000113
r_site:id[LEH_D211490,Intercept],0.95,0.8,median,-0.411694680151795,-0.00398159730185757,0.756194870118521,1.52010344959061,1.91002408753506
r_site:id[LEH_D217891,Intercept],0.95,0.8,median,-2.28834133833233,-1.61008983301972,-0.447739742227858,0.703105343609186,1.33122186334451
r_site:id[LEH_D229032,Intercept],0.95,0.8,median,-1.12337230463332,-0.826597802736381,-0.219513865945482,0.381643967205875,0.71044242433987
r_site:id[LEH_D229051,Intercept],0.95,0.8,median,-2.45778246791056,-1.74938697094154,-0.613876487778498,0.521264361994997,1.29055801661442
r_site:id[LEH_D229054,Intercept],0.95,0.8,median,-2.00075948727063,-1.35933076283338,-0.220870600658004,0.911814103748716,1.57565644432563
r_site:id[LEH_D229055,Intercept],0.95,0.8,median,-2.14858640269168,-1.41130654157234,-0.270745930038776,0.893789519471339,1.51620713237632
r_site:id[LEH_D229056,Intercept],0.95,0.8,median,-1.96614741961302,-1.27149683626265,-0.0517651565380338,1.16309347464774,1.73868613765925
r_site:id[LEH_D229133,Intercept],0.95,0.8,median,-0.765159049549508,-0.272199651362464,0.667753949142044,1.60856663435446,2.16394900972116
