parameter,outer_width,inner_width,point_est,ll,l,m,h,hh,trait
b_scaletotal_load,0.95,0.8,median,-0.112127199260269,-0.0836908924044159,-0.0250545695701438,0.0323793418427319,0.0646530357925702,Attendance
b_scaletotal_load,0.95,0.8,median,-0.123568112986328,-0.0889746187055211,-0.0203981178747667,0.0442033088122686,0.0786505203036141,Fighting
b_scaletotal_load,0.95,0.8,median,-0.136786295930115,-0.0929583279194804,-0.011713698436164,0.0659558642151283,0.109694478164218,Centrality
b_scaletotal_load,0.95,0.8,median,-0.0992815273755994,-0.0669509682416838,-0.0118420284916761,0.0446622817514377,0.0704101195874181,Eye comb
b_scaletotal_load,0.95,0.8,median,-0.16622668638448,-0.12996174142674,-0.0660567594741518,0.000979680985592516,0.0360136261631502,Blue chroma
b_scaletotal_load,0.95,0.8,median,-0.0362372051426597,-0.0103854532702473,0.0362640723360842,0.0789398325829856,0.102219175095839,Lyre size
