parameter	outer_width	inner_width	point_est	ll	l	m	h	hh	model
b_scalegerp_Lt_additive_cat5	0.95	0.8	median	-0.32425373699911864	-0.29655226047348604	-0.24702459862062548	-0.1974702914602902	-0.17005892995989125	Total
b_scalegerp_Lr_cat5	0.95	0.8	median	-0.8871608292153933	-0.8095532434334776	-0.664195660899735	-0.5204608087725562	-0.43924989417114807	Expressed
b_scalegerp_Lp_cat5	0.95	0.8	median	-0.9414019736297834	-0.8519897359024579	-0.7085422231146088	-0.5529957457560337	-0.47044420500317974	Masked
