parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
r_site:id[KUM_D229721,Intercept],0.95,0.8,median,-0.809445039846481,-0.594890401442867,-0.121713677510247,0.332895589353901,0.604626166336126
r_site:id[KUM_D229734,Intercept],0.95,0.8,median,-0.154032134673777,0.0915626291917795,0.536491770810206,1.00838017842021,1.22490098787597
r_site:id[KUM_D229735,Intercept],0.95,0.8,median,-0.131542491316222,0.142730377922925,0.735317522778677,1.36273184343309,1.72659854597029
r_site:id[KUM_D229737,Intercept],0.95,0.8,median,-0.824012748197197,-0.608466408685033,-0.185800072075564,0.218911648923426,0.427291497449926
r_site:id[KUM_D237206,Intercept],0.95,0.8,median,-1.21607975812881,-0.973318528925702,-0.466849039165164,0.0853260849627961,0.332667058719615
r_site:id[KUM_D237235,Intercept],0.95,0.8,median,-0.981542769799633,-0.655792394016934,-0.0923018840957401,0.566336863787352,0.844137275665295
r_site:id[KUM_D237258,Intercept],0.95,0.8,median,-0.830049637075992,-0.604766073003158,-0.230394562973841,0.125187429930104,0.338792925717997
r_site:id[KUM_D237310,Intercept],0.95,0.8,median,-0.724940232787502,-0.398570919279346,0.186654383329891,0.784617675273047,1.07935839586982
r_site:id[KUM_D237311,Intercept],0.95,0.8,median,-0.783111403449531,-0.52984044679746,-0.0684952170614584,0.379612306993499,0.675613405164971
r_site:id[KUM_D237313,Intercept],0.95,0.8,median,-0.956549969531788,-0.728481222198823,-0.330016319610421,0.0648627910299257,0.291982872668469
r_site:id[KUM_D237325,Intercept],0.95,0.8,median,0.121942091975478,0.468381074094236,1.10369165622743,1.81463471863674,2.18195321870551
r_site:id[KUM_D237327,Intercept],0.95,0.8,median,-0.504500663452935,-0.224449854410948,0.265759774754181,0.784229369249172,1.04354422391384
r_site:id[KUM_D237337,Intercept],0.95,0.8,median,-0.55717033858994,-0.325342129957116,0.0839330087451644,0.488422721796322,0.685541436212267
r_site:id[KUM_D237339,Intercept],0.95,0.8,median,-1.25600857497786,-0.989442595890088,-0.468686108582008,0.0404015745543993,0.353761073947328
r_site:id[KUM_D237340,Intercept],0.95,0.8,median,-0.289122733026342,-0.0606659740419692,0.3606208920782,0.773124719229643,0.978051951476597
r_site:id[KUM_D237389,Intercept],0.95,0.8,median,-0.840451284686572,-0.567978076870996,-0.0390861873042159,0.491046640639825,0.753484181887663
r_site:id[KUM_D243930,Intercept],0.95,0.8,median,-0.367277064710988,-0.114781382718282,0.325002566009631,0.786410930674748,1.04633942241258
r_site:id[KUM_D243937,Intercept],0.95,0.8,median,-1.09460439407954,-0.855926832707939,-0.336038933630697,0.170800354833995,0.457544044044379
r_site:id[KUM_D243940,Intercept],0.95,0.8,median,-0.945979088688064,-0.618212106455388,-0.015554563034615,0.595026907638668,0.896406826807454
r_site:id[KUM_D244017,Intercept],0.95,0.8,median,-1.04131789450317,-0.781535727122707,-0.277740828869931,0.210285645070128,0.482615495902896
r_site:id[KUM_D244112,Intercept],0.95,0.8,median,-0.779724988530847,-0.535678396249541,-0.039441804278028,0.478638309988975,0.727787700134659
r_site:id[KUM_D244139,Intercept],0.95,0.8,median,-0.974742635133009,-0.647423852984041,-0.0657565280252171,0.554415725436059,0.838813125226307
r_site:id[KUM_D244143,Intercept],0.95,0.8,median,-1.19513774633485,-0.821976555034567,-0.227588438138365,0.345934659773089,0.646237257050973
r_site:id[KUM_D244144,Intercept],0.95,0.8,median,-1.10015541518298,-0.770223826260006,-0.148579231069161,0.42792825922854,0.761047910388642
r_site:id[KUM_D244147,Intercept],0.95,0.8,median,0.157977574788844,0.427287041571251,0.975937969684274,1.55974684041205,1.84596708765638
r_site:id[KUM_D244183,Intercept],0.95,0.8,median,-0.996852193060875,-0.780808118394745,-0.311106180728834,0.148573912628736,0.389898336765528
r_site:id[KUM_D244186,Intercept],0.95,0.8,median,-0.776901595541796,-0.563027867768253,-0.137190044011287,0.289825968241174,0.478985301948692
r_site:id[LEH_D211334,Intercept],0.95,0.8,median,-0.725179552399584,-0.475998515477874,-0.00021079131289243,0.460347638506111,0.714128523179891
r_site:id[LEH_D211490,Intercept],0.95,0.8,median,-0.901240237442749,-0.566100859953864,0.03700760377971,0.609804781918432,0.899940493067757
r_site:id[LEH_D217891,Intercept],0.95,0.8,median,-0.433235489716206,-0.14939976587254,0.38319547420162,0.905537079323586,1.19548882636872
r_site:id[LEH_D229032,Intercept],0.95,0.8,median,-0.958333301002738,-0.691209357538953,-0.218989348621306,0.218192011324406,0.459055401360216
r_site:id[LEH_D229051,Intercept],0.95,0.8,median,-0.6839394670823,-0.406132022327769,0.0733762340826482,0.584624663264385,0.866753779887306
r_site:id[LEH_D229054,Intercept],0.95,0.8,median,-0.554563782263317,-0.2367720488723,0.339184255591428,0.939712203784087,1.30035757283185
r_site:id[LEH_D229055,Intercept],0.95,0.8,median,-1.15158675811641,-0.80460908911486,-0.199474631474621,0.37373981580815,0.652275959927894
r_site:id[LEH_D229056,Intercept],0.95,0.8,median,-1.16728798953746,-0.886448474605912,-0.326655629022001,0.158537053678896,0.416586443720351
r_site:id[LEH_D229133,Intercept],0.95,0.8,median,-0.234747604224207,-0.0227611993600115,0.423114864709287,0.869562858866173,1.10707201398708
r_site:id[LEH_D229518,Intercept],0.95,0.8,median,-0.888245642100839,-0.550186795533826,0.0749348509327462,0.650152457119894,0.94540466489249
r_site:id[LEH_D229560,Intercept],0.95,0.8,median,-1.04251730353205,-0.716842803315262,-0.0954416461699905,0.539113881726049,0.860667197184327
r_site:id[LEH_D229630,Intercept],0.95,0.8,median,-1.40397814566966,-1.06315686033855,-0.427271219776751,0.128950712245906,0.374830130702054
r_site:id[LEH_D229646,Intercept],0.95,0.8,median,-1.35912036413484,-1.1194310374639,-0.653478313343684,-0.182087349486466,0.0557662372952052
r_site:id[LEH_D229648,Intercept],0.95,0.8,median,-1.05883773971439,-0.792068878164302,-0.181946842828913,0.39150329511785,0.663515574529005
r_site:id[LEH_D229740,Intercept],0.95,0.8,median,-0.645353358700694,-0.362136247649032,0.229393662813316,0.84283505424205,1.12614435786289
r_site:id[LEH_D229742,Intercept],0.95,0.8,median,-0.926249785255954,-0.720003046251781,-0.290686987138058,0.139325071739204,0.332235648408428
r_site:id[LEH_D229776,Intercept],0.95,0.8,median,-0.972009074992626,-0.677980584159242,-0.0513586179860955,0.529957427352762,0.880119027032722
r_site:id[LEH_D237300,Intercept],0.95,0.8,median,-0.960985485466515,-0.584241130890809,-0.0252943893829998,0.520918422538792,0.800401069811579
r_site:id[LEH_D237307,Intercept],0.95,0.8,median,-0.54438057891318,-0.222695609003366,0.340034196552527,0.955952860357828,1.27793636699495
r_site:id[LEH_D243906,Intercept],0.95,0.8,median,-1.11801238631289,-0.797568455779505,-0.201291703136612,0.387423083115066,0.715415139501974
r_site:id[LEH_D243907,Intercept],0.95,0.8,median,-0.693490757573683,-0.349847618319732,0.205750448089422,0.793997367147658,1.10860687886971
r_site:id[LEH_D243950,Intercept],0.95,0.8,median,-0.708885498789857,-0.428574464092182,0.0800006960639999,0.61805007376302,0.876759678858464
r_site:id[LEH_D244001,Intercept],0.95,0.8,median,-0.750691712842596,-0.394099358335034,0.172828876751126,0.756838327101268,1.14359445862818
