parameter	outer_width	inner_width	point_est	ll	l	m	h	hh	trait
b_scalegerp5_load_tadd_all	0.95	0.8	median	-0.18589271289971285	-0.1578173958364225	-0.10531126077539447	-0.049994069211167905	-0.023529168478201953	Attendance
b_scalegerp5_load_tadd_all	0.95	0.8	median	-0.053456662321568475	-0.01138946551790248	0.06409857609721137	0.1401645317184879	0.18520535346513978	Fighting
b_scalegerp5_load_tadd_all	0.95	0.8	median	-0.12522997697654242	-0.07463264584485711	0.01472467271878677	0.10798477085542785	0.15382127292108919	Centrality
b_scalegerp5_load_tadd_all	0.95	0.8	median	-0.08345677091470474	-0.05305812429708032	5.527725621585594e-4	0.055765511175269206	0.08260747647200867	Eye comb
b_scalegerp5_load_tadd_all	0.95	0.8	median	-0.08902482997054106	-0.053317921919744084	0.02394401226344185	0.09242614450472617	0.12690861647864898	Blue chroma
b_scalegerp5_load_tadd_all	0.95	0.8	median	-0.11507543896401852	-0.08787813617362719	-0.038743614716553576	0.009932612185332592	0.03248180397076609	Lyre size
