parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
r_site:id[KUM_D229721,Intercept],0.95,0.8,median,-0.809755732696418,-0.56765181592027,-0.110290639494289,0.362545861946501,0.604096181247682
r_site:id[KUM_D229734,Intercept],0.95,0.8,median,-0.140039284163124,0.0941010933206059,0.531868983031295,1.0055046854795,1.22883444971002
r_site:id[KUM_D229735,Intercept],0.95,0.8,median,-0.201835720349664,0.113223297728261,0.758720631341101,1.41084636689714,1.82441646880896
r_site:id[KUM_D229737,Intercept],0.95,0.8,median,-0.808153547218111,-0.57165182430732,-0.159116260515293,0.248891605085175,0.448271928071168
r_site:id[KUM_D237206,Intercept],0.95,0.8,median,-1.26391959354775,-1.02433745856206,-0.476169078494116,0.0472403508258442,0.326849497104278
r_site:id[KUM_D237235,Intercept],0.95,0.8,median,-0.958756156925206,-0.686953893488201,-0.0961872078919067,0.497664687107752,0.82055053642022
r_site:id[KUM_D237258,Intercept],0.95,0.8,median,-0.813304075775133,-0.612340453180541,-0.246091353016319,0.12403001779623,0.326549703486498
r_site:id[KUM_D237310,Intercept],0.95,0.8,median,-0.693599862895351,-0.392611344275472,0.181314186007533,0.760281569154088,1.1032588903688
r_site:id[KUM_D237311,Intercept],0.95,0.8,median,-0.750057520024943,-0.549541927189525,-0.0698007533969832,0.38026415191777,0.601383871976898
r_site:id[KUM_D237313,Intercept],0.95,0.8,median,-0.874334716362069,-0.682207655783209,-0.283013752106717,0.0968500563813285,0.278171405542275
r_site:id[KUM_D237325,Intercept],0.95,0.8,median,0.127646034473016,0.434521044986932,1.11778009929648,1.79825429911034,2.16905749060349
r_site:id[KUM_D237327,Intercept],0.95,0.8,median,-0.552651399287538,-0.257195371546175,0.246016708653437,0.742475657505622,1.00359827534871
r_site:id[KUM_D237337,Intercept],0.95,0.8,median,-0.545872088540471,-0.320779555283991,0.102194327215122,0.515326722063463,0.746545702952702
r_site:id[KUM_D237339,Intercept],0.95,0.8,median,-1.28081173450181,-1.0003275549432,-0.459123174931974,0.0616652273425008,0.326868495684506
r_site:id[KUM_D237340,Intercept],0.95,0.8,median,-0.236722672030564,-0.0137414014822854,0.403296208147494,0.837450354418924,1.04361808349429
r_site:id[KUM_D237389,Intercept],0.95,0.8,median,-0.830463105014188,-0.616718864910364,-0.083458286392882,0.42283590218623,0.699597740550857
r_site:id[KUM_D243930,Intercept],0.95,0.8,median,-0.346682094564045,-0.0999248981418554,0.348906640891103,0.816836175373063,1.03847443175525
r_site:id[KUM_D243937,Intercept],0.95,0.8,median,-1.12437711854998,-0.84538443543883,-0.31453670106289,0.188340127790705,0.483812251477894
r_site:id[KUM_D243940,Intercept],0.95,0.8,median,-0.906303567309553,-0.598621972999486,0.0130401932388281,0.608000551863409,0.909029347948688
r_site:id[KUM_D244017,Intercept],0.95,0.8,median,-1.1133310652841,-0.803118984239106,-0.283232207641712,0.21752918209956,0.479248161938918
r_site:id[KUM_D244112,Intercept],0.95,0.8,median,-0.787090262086021,-0.531417730116585,-0.0200025643495382,0.480750698226595,0.725663099091116
r_site:id[KUM_D244139,Intercept],0.95,0.8,median,-0.956127979638979,-0.657399439710182,-0.0712174953148128,0.516030102934534,0.839423495062935
r_site:id[KUM_D244143,Intercept],0.95,0.8,median,-1.190471194961,-0.807578139205161,-0.20565070231586,0.377466016665973,0.670755483778487
r_site:id[KUM_D244144,Intercept],0.95,0.8,median,-1.08222114635833,-0.758947813012022,-0.149552151449771,0.442704322880157,0.738609537416723
