parameter	outer_width	inner_width	point_est	ll	l	m	h	hh
r_site:id[KUM_D229635,Intercept]	0.95	0.8	median	-0.823715906657429	-0.648334048361837	-0.3007011427238564	0.04279429632076176	0.23724446152081677
r_site:id[KUM_D229658,Intercept]	0.95	0.8	median	-0.6874438598224404	-0.578668856650313	-0.36894211546304684	-0.16193233016799732	-0.05243755279179422
r_site:id[KUM_D229679,Intercept]	0.95	0.8	median	0.11985100996748502	0.2547392104928743	0.511405139842191	0.7600631028128709	0.8855834274880036
r_site:id[KUM_D229721,Intercept]	0.95	0.8	median	-0.571073273781254	-0.4210868078095303	-0.15056073150874133	0.1291557315787574	0.2911661717623242
r_site:id[KUM_D229734,Intercept]	0.95	0.8	median	-0.1265533199649975	0.01845776410682049	0.2818762501321277	0.530941141851241	0.6867648873268712
r_site:id[KUM_D229735,Intercept]	0.95	0.8	median	0.024267987137256922	0.16375006961896393	0.4388175905614002	0.7097486207032084	0.8720801545213916
r_site:id[KUM_D229737,Intercept]	0.95	0.8	median	-0.6969129840197055	-0.5740908760261061	-0.32240582332722467	-0.0921428358704541	0.013060895973797334
r_site:id[KUM_D237206,Intercept]	0.95	0.8	median	-0.005774413753649414	0.13578462513051742	0.4107285696933515	0.6913457138131803	0.8286339444132867
r_site:id[KUM_D237235,Intercept]	0.95	0.8	median	-0.5609149596170254	-0.3706292592673666	-0.044739249838806075	0.2931806129302934	0.4741262003236655
r_site:id[KUM_D237258,Intercept]	0.95	0.8	median	-0.8439398586837322	-0.7533169722514701	-0.5742872593772455	-0.3853568307407488	-0.2919389420620876
r_site:id[KUM_D237310,Intercept]	0.95	0.8	median	-0.05202393502965115	0.0831937134553849	0.3610433546879126	0.6200326000693904	0.7697819699148369
r_site:id[KUM_D237311,Intercept]	0.95	0.8	median	-0.8515102236023854	-0.6598341509915019	-0.3248552971218831	0.020073448547419933	0.19154193790201546
r_site:id[KUM_D237313,Intercept]	0.95	0.8	median	-0.022685540603816872	0.06889267658651285	0.2554628322945326	0.4336813582702618	0.5430529241053156
r_site:id[KUM_D237325,Intercept]	0.95	0.8	median	-0.4409589038333905	-0.313132621871843	-0.028092611003250008	0.23254503828860887	0.3814269570464706
r_site:id[KUM_D237327,Intercept]	0.95	0.8	median	-0.22859228807596976	-0.08397449866569943	0.18248641492356402	0.4526014673404723	0.6126837370668995
r_site:id[KUM_D237337,Intercept]	0.95	0.8	median	-0.6208241276657435	-0.5093816383295366	-0.2677099491123047	-0.036587691408073345	0.0857352825574834
r_site:id[KUM_D237339,Intercept]	0.95	0.8	median	-0.592652556586751	-0.4698367070700782	-0.23017942162342425	0.003729337647236047	0.1446666073274884
r_site:id[KUM_D237340,Intercept]	0.95	0.8	median	-0.3784071200812264	-0.25466357831079217	-0.03392952540792027	0.18945302007704737	0.3068026631520698
r_site:id[KUM_D237389,Intercept]	0.95	0.8	median	-0.6661185160171769	-0.46888252820645704	-0.11985251805861633	0.21507725727997387	0.37532285015859784
r_site:id[KUM_D243930,Intercept]	0.95	0.8	median	-0.8934461523462771	-0.7879401935877932	-0.578522447993657	-0.3705937715147941	-0.26330865733690045
r_site:id[KUM_D243937,Intercept]	0.95	0.8	median	-0.035400692354094855	0.1095430858103514	0.38199207113308653	0.6720499540313982	0.809040711248676
r_site:id[KUM_D244017,Intercept]	0.95	0.8	median	-0.18146817869286855	-0.00796004815487703	0.3247231457696657	0.6695537817897858	0.8064363777597258
r_site:id[KUM_D244112,Intercept]	0.95	0.8	median	-0.08598631115267198	0.05319470201031444	0.31977267706604484	0.6060210934386322	0.7430657601244343
r_site:id[KUM_D244139,Intercept]	0.95	0.8	median	-0.3630573721691968	-0.19010320901836542	0.14894890659990084	0.48172665110456836	0.6612327309859475
r_site:id[KUM_D244143,Intercept]	0.95	0.8	median	-0.6477426957419242	-0.5075634376556682	-0.18928265742785388	0.152723649495812	0.32990973031911763
r_site:id[KUM_D244144,Intercept]	0.95	0.8	median	-0.257748883793074	-0.08345125814532757	0.25876817572078964	0.585194473265498	0.7611888491939103
