parameter	outer_width	inner_width	point_est	ll	l	m	h	hh
r_site:id[NYR_D154288,Intercept]	0.95	0.8	median	-0.509098400631598	-0.3228539321800401	0.02949582733955701	0.3615083734173463	0.5620921854217581
r_site:id[NYR_D211308,Intercept]	0.95	0.8	median	-0.6439068622099817	-0.42690445447889586	-0.04647006613926457	0.3003033013783542	0.5030577585217445
r_site:id[NYR_D211312,Intercept]	0.95	0.8	median	-0.5932778139880039	-0.4288045636565503	-0.122569452338218	0.1689008153367134	0.3057077809469657
r_site:id[NYR_D211320,Intercept]	0.95	0.8	median	-0.3976431816254136	-0.21250344452921305	0.11726451881724942	0.4820619623570132	0.6807113919687342
r_site:id[NYR_D211349,Intercept]	0.95	0.8	median	-0.6470005330929224	-0.47004110544215283	-0.10547826561195846	0.22255492817029948	0.40974741192700953
r_site:id[NYR_D211350,Intercept]	0.95	0.8	median	-0.44384422950879504	-0.2366721713154264	0.11596284487304034	0.515744112607249	0.7592024646322829
r_site:id[NYR_D211411,Intercept]	0.95	0.8	median	-0.7096026021874835	-0.5071859935990355	-0.1506962592530724	0.17054331236833672	0.3627218221196671
r_site:id[NYR_D211412,Intercept]	0.95	0.8	median	-0.5211668432417693	-0.3178548975106618	0.0560174025778406	0.44225816336720736	0.662025813413746
r_site:id[NYR_D211431,Intercept]	0.95	0.8	median	-0.5657045387765712	-0.37206423293952445	-0.0534465165827696	0.248017318172332	0.41817699552258925
r_site:id[NYR_D211461,Intercept]	0.95	0.8	median	-0.3274045800758094	-0.15263416350161055	0.19739040788203102	0.5546451354941984	0.7736373737569263
r_site:id[NYR_D217821,Intercept]	0.95	0.8	median	-0.49078940167751184	-0.31915190518701925	-0.019931962908336973	0.26722906663561896	0.439437436267355
r_site:id[NYR_D217870,Intercept]	0.95	0.8	median	-0.647757493607196	-0.4397335416621954	-0.054794026417558844	0.3064874694515644	0.531859267101698
r_site:id[NYR_D217910,Intercept]	0.95	0.8	median	0.3634627203636268	0.687453393829855	1.2950600322219548	1.8743062984762746	2.1814459456110784
