parameter	outer_width	inner_width	point_est	ll	l	m	h	hh	model
b_scalegerp_Lt_cat5	0.95	0.8	median	-0.17513724031366018	-0.15565989609980113	-0.1134049492227889	-0.0689201947229828	-0.045505291607357744	GERP
b_scalehigh_Lt	0.95	0.8	median	-0.1141695338494035	-0.09066670103783762	-0.03448165621980144	0.020277327106791563	0.05189345630489016	High effect
