id	gerp_cat	n_total	n_genotyped	gerp_count_t_v2	gerp_Lt_additive
D211438	1-2	536152	530159	98090	0.18501996570840068
D211438	2-3	421585	416967	74868.5	0.1795549767727422
D211438	3-4	536380	530925	92866.5	0.17491453595140558
D211438	4-5	404284	400977	61345.5	0.15299007174975124
D211445	0-1	1016065	887438	169149.5	0.19060430137091267
D211445	1-2	536152	462727	84949.5	0.1835844893425281
D211445	2-3	421585	364971	64992.5	0.17807579232322568
D211445	3-4	536380	482519	84073	0.174237698411876
D211445	4-5	404284	367695	55827	0.15182964141475952
D211450	0-1	1016065	995463	192280.5	0.19315685264042962
D211450	1-2	536152	527252	97650	0.18520555635635333
D211450	2-3	421585	414841	74681.5	0.18002439488864408
D211450	3-4	536380	530001	92444.5	0.17442325580517773
D211450	4-5	404284	400688	61216.5	0.1527784710298287
D211451	0-1	1016065	888525	168969	0.19016797501477167
D211451	1-2	536152	477301	87315	0.1829348775720143
D211451	2-3	421585	375630	67195	0.17888613795490244
D211451	3-4	536380	480234	82970.5	0.17277098247937464
D211451	4-5	404284	363822	55111	0.15147792052157374
D211456	0-1	1016065	766919	144565	0.18850100206149542
D211456	1-2	536152	413043	75085	0.18178494732993902
D211456	2-3	421585	325888	57280.5	0.17576744157501964
D211456	3-4	536380	426281	73502	0.1724261695923581
D211456	4-5	404284	326535	49109.5	0.15039582280613104
D211461	0-1	1016065	996059	191814.5	0.1925734318950986
D211461	1-2	536152	527690	97441	0.18465576380071633
D211461	2-3	421585	415034	74621.5	0.17979611308953
D211461	3-4	536380	529925	92617	0.17477378874369015
D211461	4-5	404284	400437	61164.5	0.15274437676838054
D211474	0-1	1016065	929480	178415	0.19195141369367819
D211474	1-2	536152	500467	92544	0.18491528911996197
D211474	2-3	421585	395012	70880	0.17943758670622664
D211474	3-4	536380	514113	89806	0.17468144162859137
D211474	4-5	404284	392265	59831	0.15252699068231934
D211478	0-1	1016065	1000177	193004.5	0.19297034424906792
D211478	1-2	536152	529036	98321	0.18584935618748064
D211478	2-3	421585	416339	74930	0.17997353118492382
D211478	3-4	536380	530544	92743.5	0.17480830996109653
D211478	4-5	404284	400824	61109	0.1524584356226174
D211482	0-1	1016065	999912	192295.5	0.1923124234932674
D211482	1-2	536152	529592	98068	0.18517651324038129
