,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),0.0703506493964863,0.13004650893278,0.540965305211306,0.589182271508239
siteLEH,-0.189518115514256,0.227821497670096,-0.831871080878827,0.406554194382887
siteNYR,-0.128489097840853,0.188953196799416,-0.680004890191148,0.49735140797494
siteSAA,-0.0843995349717744,0.233440627731837,-0.361546041885766,0.71810387744507
siteTEE,0.0673300346110481,0.260093017865561,0.258869058322243,0.796024075946727
