similar
GLMP-B
NA
BKJ
LAMTOR2
SLC25A44
NCSTN
IRF8
MEAK7
KCNG4
MPHOSPH6
PKD1L2
CDH5
BEAN1
PDP2
GARRE1
SLC7A9
ANKRD27
UQCRFS1
CDCA9
HEATR3
CYLD
BCOR
LPCAT2
SLC7A6OS
KIFC3
ENKD1
RSPRY1
CCL2
NUTF2
PSKH1
E2F4
ELMO3
TMEM208
RIPOR1
CTCF
CARMIL2
FHOD1
SETD6
CMTR2
SLC38A8
NQO1
TMED6
SPATA2L
SLC7A5P1
ZCCHC2
FBXO31
CRISPLD2
WFDC1
HSD17B2
BCO1
WWOX
CLEC3A
VAT1L
NUDT7
CKLF
KCTD15
FAAP24
RGS9BP
ZNF536
URI1
POP4
ZNF423
SNX20
SALL1
TOX3
PRMT7
KATNB1
ADGRG3
USB1
POLR2C
PARD6B
ATP6V0D1
CNOT1
PNP
MLKL
SLC12A3
TAT
ZFHX3
NFAT5
SNTB2
HAS3
CPNE7
SPG7
ACSF3
ZFPM1
JPH3
MAP1LC3B
EDA
WNT11B
DGAT2
ARRB1
KIF4
LPAR4
GPR174
MARS2
IFNLR1
EVA1C
FRMPD3
IL2RG
TAF7
AIPL1
ZMYM3
PRSS23
PLS3
SLC6A14
DOCK11
FHL1
BB4
VGLL1
NOX1
PCDH19
CHM
BRWD3
HSFY1
ASB12
KDRL
CDX1
CDX4
COX7B
AMOT
DCX
CAPN5
ACSL4
TENM1
TMEM255A
NKAPL
KIAA1210
POL
C1GALT1C1
YIPF6
GPR83
P2RY4
PDZD11
TBX22
UTP14A
OCRL
PRPS1
SNX12
NIPA2
F8
MTCP1
GCNA
TAF1
RHOG
DLG3
NYX
KLHL13
GPC3
FAM122A
MOSPD1
MAP7
FGF13
TENT5C
ZGC
RIPPLY2
SUA5
C8ORF48
LNX2
MAGT1
COL4A1
VSIG1
GRIA3
ATP1B4
ZBTB33
LONRF3
NPAS2
MAML2
AFF2
CPSF7
DAGLA
FNBP4
NUDT8
GATD1
BUB1B
PAK6
KNSTRN
IVD
BBOX1
METTL15
FSHB
EIF3M
QSER1
DEPDC7
SPON1
NAV2
NELL1
MAS1
OLFML1
PPFIBP2
BTBD10
PLCG1
GALNT18
SBF2
DENND2B
RPL27A
OTOG
KCNC1
GTF2H1
LDHA
TMEM86A
PTPRJ
IGF2
DUSP8
MOB2
POLR2L
PIDD1
HRAS
BEST1
INCENP
CCND1
NAT10
HSD17B12
ALKBH3
C1QTNF4
RAPSN
PSMC3
ACP2
PACSIN3
LRP4
PHF21A
PEX16
CHST9
ITPKA
PLA2G4B
NUMB
DPF3
MAP3K9
MED6
SLC8A3
AQR
TTC6
VSX2
GPATCH2L
ESRRB
VASH1
FLRT2
KCNK13
COX8A
BDKRB2
GSKIP
CCNK
SLC25A47
LBH
INF2
ZBTB18.2
CEP170B
PLD4
CLBA1
SGPP1
GPHB5
TRMT5
SIX4
RTN1
SLC35F4
OTX2
TBPL2
DMAC2L
ATL1
RTRAF
FKBP3
KLHL28
TMEM258
TCIRG1
PLCB2
CCDC32
GM14137
CCDC34
KCNA4
MPPED2
PAX6
WT1
CCDC73
CSRP3
VPS51
OVCH2
ARNTL
RASSF10
TEAD1
MICAL2
AMPD3
SWAP70
WEE1
ZNF143
COPB1
PSMA1
CYP2R1
SOX6
PLEKHA7
HPS5
PTPN5
TSPAN32
TNNT3
MUC5AC
MUC2
CD151
CRACR2B
RPLP2
RASSF8
RAB3IL1
FTH
SERPING1
FGF3
SHANK2
SHANK3
SLC1A2
PAMR1
SYT13
TMEM178B
SLC39A13
C11ORF49
F2
CREB3L1
MAPK8IP1
PPP1R14D
EXD1
EHD4
PLA2G4F
TTBK2
CHRM4
SIPA1L1
PCNX1
SUSD6
CHRM5
GREM1
NOVA1
PPP2R3C
NFKBIA
NKX2-8
RTASE
ABCD4
SYNDIG1L
ZDHHC22
VIPAS39
DIO2
TC2N
FBLN5
GSC
CLMN
ATG2B
SETD3
PPP1R13B
RD3L
AKT1
AHNAK2
SERTAD2
JAG2
PRKCH
MNAT1
PPM1A
PCNX4
JKAMP
DACT1
AP5M1
TMEM260
PELI2
CGRRF1
DNAAF2
POLE2
CDKL1
MAP4K5
NIN
TXNDC16
BMP4
PRPF39
TOGARAM1
BLM
CIAO2A
UACA
ANP32A
MEGF11
INTS14
DPP8
IGDCC3
PARP16
SNRPA1
SELENOS
CERS3
LYSMD4
FAM169B
AKAP13
ACAN
ABHD2
FANCI
MINAR1
ABHD17C
CEMIP
LMNB1
FSD2
NMRK2
COPS2
SECISBP2L
MYEF2
MAPK6
TCF12
MYZAP
AQP9
FAN1
KLF13
TLN2
FBXL22
HYKK
TMEM266
PTPN9
PML
ARID3B
CLK3
CSK
SCAMP5-A
NPTN
HEXA
PKM
GRAMD2A
MYO9A
SHISAL1A
KIF23
PAQR5B
GLCE
PIAS1
C15ORF61
SMAD6
MAP2K1
SLC24A1
RASL12
UBAP1L
PLEKHO2
LRRK1
ALDH1A3
ASB7
NR2F2
CHD2
KLHL25
MRPL46
HAPLN3
RLBP1
KIF7
BCL2A1
STARD5
TMC3
ADAMTSL3
WHAMM
HDC
CDC42SE2-C
AP4E1
TMOD2
JOCKEY\POL
MYO5C
MYO5A
RSL24D1
DNAAF4
PRTG
ALDH1A2
ADAL
APBA2
MTMR10
RORA
VPS13C
CA12
CHRNA3
ETFA
PEAK1
LINGO1
NEIL1
STOML1
STRA6
UBL7
SCAMP2
ZP3
SENP8
NR2E3
PCLAF
ZNF592
B2M
INHBA
PPP1R17
BMPER
NPSR1
SEPTIN7
GPR141
SUSD5
SLC25A38
RPSA
KIF15
SACM1L
SNRPD1
CCR5
MRPL3
EAF1
ABHD5
THRB
NKIRAS1
TBC1D5
HOXA3
OSBPL3
GSDME
IGF2BP3-A
IGF2BP3
AGR2
MEOX2
PON2
BET1
MRC1
SLC39A12
MALRD1
THNSL1
APBB1IP
SVIL
ZEB1
CCNY
GJD4
ADARB2
ADARB1
LARP4B
NCAPG2
PTPRN2
SHH
KMT2C
RHEB
EXOG
XIRP1
CCM2
SNAP47
WNT3A
GJC1
IBA57
OBSCN
HIGD1A
HHATL
KLHL40
VIPR1
ELP6
MAP4
HECW1
MRPL32
RALA
YAE1
POU6F2
NEUROD6
PDE1C
KBTBD2
NT5C3A
ELMO1
ARPP21
TMC2
PRLH
CTNNB1
RCJMB04_19N18
SLC6A20
XCR1
BFSP2
TMEM108
DNAJC13
ACPP
METTL6
POMGNT2
CMC1
LRRC3B
RPL15
UBE2E2
GALNT15
CHN2
CREB5
TAX1BP1
MPP6
DNAH11
SP4
ITGB8
HDAC9
PHF14
ASB4
AKAP9
CDK14
ADAM22
CROT
TRDMT1
ST8SIA6
ARHGAP21
MKX
ITGB1
PARD3
CUL2
DNAJB6
UBE3C
HTR5A
SCN5A
MYD88
ZNF160
JMJD4
WNT9A
CYP8B1
NKTR
MINDY4
PRDM10
JAM3
ACAD8
GLB1L2
SCN3B
CLMP
TRIM29
NECTIN1
C1QTNF5
RNF214
TMPRSS4
NFKBIZ
C11ORF88
CRYAB
C2CD2L
KIRREL3
ETS1
ARHGAP32
B3GAT1
TECTA
OAF
RNF26
ABCG4
ATP5MG
ZBTB16A
CADM1
DSCAML1
FXYD6
TMPRSS13
MPZL3
SLC37A4
NCAM1
NKAPD1
HSPB2
PPM1F
MAPK1
SEPTIN2
COMT
TANGO2
DGCR8
ZDHHC8
PGAM5
GALNT9
RIMBP2
TMEM132D
SLC15A4
NCOR2
RILPL2
SBNO1
CDK2AP1
MPHOSPH9
ABCB9
VPS37B
SETD1B
BCL7A
LRRC43
B3GNT4
TCTN1
CCDC63
ADAM21
WSCD2
FAM222A
KIAA1671
RCJMB04_21H11
CRYBB3
MYO18B
SRRD
ZNRF3
GSC2
ESS2
MMP11
SMARCB1
SLC2A11
DDX51
TBX6L
RSPH14
PISD
TRIAP1
PLA2G1B
PXN
RPLP0
CIT
ZMAT5
MED13L
RBM19
CLTC
HIC2
CLDN5
GNB1L
ARVCF
TRMT2A
GOLGA3
NOC4L
EP400
PUS1
MMP17
RAN
PIWIL1
FZD10
TMEM132C
TMEM132B
HIP1R
ANAPC5
MORN3
DIABLO
CLIP1
ZCCHC8
ATXN2
BRAP
TMEM116
HECTD4
SSH1
MMAB
HPS4
TPST2
THADA
VPREB3
UPB1
ADORA2A
SLC5A1
LIMK2
RNF185
CABP1
RNF10
SIRT4
BICDL1
SCARF2
UQCR10
FBXW8
RNFT2
SDSL
RTN4R
UGT1A1
AGAP1
ACKR3
RAMP1
FN1
ABCA12
ERBB4
NUP35
ITGAV
GULP1
GLS
MOB4
CASP8
PLEKHM3
KLF7
MDH1B
GPR1
EP0
TTN
MYLK
NFE2L2
ATP5MC3
CIR1
PPP1R9A
SLC38A11
FIGN
CHPF
RACGAP1
DNPEP
CRYBA2
ZNF142
PNKD
EPB41L5
RALB
TSN
SLC49A4
PDIA5
UMPS
MGAT5
R3HDM1
ARHGAP15
MBD5
FMNL2
GPD2
FAM207A
TWIST2
HLH-13
ASB1
SH3BP4
SPP2
COL6A3
ATIC
VWC2L
SPAG16
CPS1
SLC40A1
MSTN
STAT4
BIRC5.1
TMEFF2
DNAH7
C2ORF66
PGAP1
BOLL
PLCL1
ORC2
CREB1
FASTKD2
NRP2
ICOS
CTLA4
UBE2E3
MTX2
HOXD12
MAP3K20
COL28A1
B3GALT1
CSRNP3
TBR1
PSMD14
GMPPA-B
STK16
TTLL4
BCS1L
CNOT9
IGFBP2
CNTNAP5
MYOM
SEMA5B
ADCY5
CCDC14
ITGB5
SNX4
FAIM
ESYT3
MARCO
NCKAP5
TMEM163
TCF15
VWDE
GTDC1
ORC4
CCDC148
CEBPB
TSHZ2
DOK5
SPO11
RAE1
PCK1
SLC35C2
PLAGL2
ZGPAT
PCMTD2
PXDN
SRMS
KCNQ2
NKAIN4
TCFL5
CABLES2
PPP1R3D
CCNDBP1
KCNB1
SULF2
OCSTAMP
GDAP1L1
YWHAB
SYS1
PIGT
AHCY-A
FSIP2
EDEM2
PTPRT
ACTR5
SRFBP1
TOP1
RPN2
RBL1
UBE2V1
RIPOR3
ADNP
ATP9A
SALL4
ZFP64
CBLN4
FORI
GCNT7
BMP7
PPP4R1
CTSZ
MMP9
KIAA1755
BPIFB4
MAPRE1
ASXL1
TPX2-B
BPI
HM13
PDYN
HELZ2
ARFRP1
RHBG-B
NPBWR2
SLC17A9
COL9A3
NTSR1
CDH4
PHACTR3
JPH2
ADA
RIMS4
SRC
PPP2CA
TOX2
MYH7B
ACSS2
ARHGAP40
ZHX3
EIF6
GDF5
FER1L4
NCOA6
PTGER3
RPE65
SERBP1
RLN3
JAK1
CENPR
CYP2J2
CAIAP
DAB1
PLPP3
TTC4
SSBP3
YIPF1
GLIS1
MAGOHB
NRDC
TTC39A
PDZK1IP1
MOB3C
DMBX1
GPBP1L1
MUTYH
TMEM53-B
BEST4
ERI3
SLC6A9
MIGA1
DNAJB4
PRKACB
CCN1
LRRC8B
BRDT
RWDD3
SNX7
FRRS1
GPSM2
DENND1B
ZBTB41
KCNT2
NOTCH2
METTL18
LMX1A
DARS2
TOR1AIP2
NPHS2
ASTN1
SERPINC1
FMO5
PRXL2A
WAPL
GRID1
PPA1
DUSP13
NDST2
SYNPO2L
SEC31B
FAS
MYOF
CPEB3
DNMBP
COX15
PYROXD2
CRTAC1
ARHGAP19
POLL
MFSD13A
TRIM8
SFXN2
BORCS7
AS3MT
INA
NEURL1
SFR1
CFAP58
ADD3
PLEKHS1
ADRB1
CCDC172
GRK6
GRK5
GPR26
DOCK1
MKI67
MGMT
DPYSL4
INPP5A
TYW3
TNNI3K
MIER1
TCTEX1D1-B
EFCAB7
ALG6
ANGPTL3
MPDZ
PATJ
NFIA
C8A
TMEM61
MRPL37
TCEANC2
DMRTB1
PODN
SCP2
ZYG11B
GPX7
PRPF38A
ZFYVE9
BTF3L4
ELAVL4
NASP
MMACHC
TOE1
BTBD19
RNF220
DMAP1
KLF4
ATP6V0B
KDM4A
PTPRF
MPL
TMEM125
PIGK
FUBP1
VTG1
UOX
VTG2
SSX2IP
LPAR3
SYDE2
ZNF644
ARHGAP29
NR5A2
CRB1
CDC73
HSD17B7
TMEM121
PRKAB2
PRDX6
FMO3
METTL11B
C1ORF112
TDRD5
ATP5F1A
HEBP2
IVNS1ABP
