      4 ScEsiA3_10560;HRSCAF=11508
      6 ScEsiA3_10565;HRSCAF=11513
      5 ScEsiA3_10566;HRSCAF=11514
      4 ScEsiA3_10567;HRSCAF=11515
     26 ScEsiA3_10570;HRSCAF=11518
     20 ScEsiA3_10576;HRSCAF=11524
     11 ScEsiA3_10577;HRSCAF=11525
      7 ScEsiA3_10587;HRSCAF=11536
     13 ScEsiA3_10592;HRSCAF=11541
      5 ScEsiA3_10594;HRSCAF=11543
      1 ScEsiA3_10597;HRSCAF=11546
      6 ScEsiA3_10600;HRSCAF=11549
      1 ScEsiA3_10606;HRSCAF=11555
     31 ScEsiA3_10608;HRSCAF=11557
     13 ScEsiA3_10609;HRSCAF=11558
      3 ScEsiA3_10610;HRSCAF=11559
      1 ScEsiA3_10614;HRSCAF=11563
     19 ScEsiA3_10616;HRSCAF=11567
      2 ScEsiA3_10617;HRSCAF=11571
     81 ScEsiA3_10618;HRSCAF=11572
      8 ScEsiA3_10620;HRSCAF=11575
      1 ScEsiA3_10621;HRSCAF=11577
      8 ScEsiA3_1062;HRSCAF=1668
      1 ScEsiA3_10633;HRSCAF=11596
     15 ScEsiA3_10635;HRSCAF=11598
     16 ScEsiA3_10642;HRSCAF=11606
      2 ScEsiA3_10651;HRSCAF=11615
     55 ScEsiA3_10658;HRSCAF=11622
      6 ScEsiA3_10663;HRSCAF=11627
     17 ScEsiA3_10671;HRSCAF=11636
      8 ScEsiA3_10672;HRSCAF=11638
      6 ScEsiA3_10678;HRSCAF=11650
     23 ScEsiA3_10681;HRSCAF=11654
      6 ScEsiA3_10686;HRSCAF=11660
     52 ScEsiA3_10688;HRSCAF=11662
      9 ScEsiA3_10690;HRSCAF=11664
     10 ScEsiA3_10692;HRSCAF=11666
      1 ScEsiA3_10706;HRSCAF=11681
     17 ScEsiA3_10715;HRSCAF=11692
     22 ScEsiA3_10717;HRSCAF=11694
      8 ScEsiA3_1071;HRSCAF=1677
     45 ScEsiA3_10722;HRSCAF=11699
      2 ScEsiA3_10729;HRSCAF=11706
     16 ScEsiA3_10732;HRSCAF=11709
      7 ScEsiA3_10744;HRSCAF=11721
     15 ScEsiA3_10751;HRSCAF=11728
      7 ScEsiA3_10769;HRSCAF=11746
     15 ScEsiA3_10770;HRSCAF=11747
     27 ScEsiA3_10771;HRSCAF=11748
      1 ScEsiA3_10775;HRSCAF=11752
     24 ScEsiA3_10788;HRSCAF=11765
      8 ScEsiA3_10805;HRSCAF=11783
     17 ScEsiA3_10810;HRSCAF=11788
      2 ScEsiA3_10820;HRSCAF=11798
     15 ScEsiA3_10824;HRSCAF=11803
      2 ScEsiA3_10828;HRSCAF=11807
     41 ScEsiA3_10839;HRSCAF=11820
      5 ScEsiA3_10841;HRSCAF=11824
      2 ScEsiA3_10847;HRSCAF=11834
     25 ScEsiA3_10849;HRSCAF=11837
      6 ScEsiA3_10855;HRSCAF=11847
      1 ScEsiA3_10867;HRSCAF=11859
      2 ScEsiA3_10868;HRSCAF=11860
     15 ScEsiA3_10878;HRSCAF=11871
      4 ScEsiA3_10881;HRSCAF=11874
     20 ScEsiA3_10882;HRSCAF=11875
      1 ScEsiA3_10887;HRSCAF=11880
      1 ScEsiA3_10889;HRSCAF=11882
    179 ScEsiA3_10894;HRSCAF=11888
      1 ScEsiA3_10897;HRSCAF=11891
     12 ScEsiA3_10904;HRSCAF=11898
     24 ScEsiA3_10906;HRSCAF=11900
      4 ScEsiA3_10907;HRSCAF=11901
     16 ScEsiA3_10909;HRSCAF=11903
      4 ScEsiA3_10910;HRSCAF=11904
      1 ScEsiA3_10912;HRSCAF=11906
      2 ScEsiA3_10916;HRSCAF=11912
