X,loc,file,id_k,E,L,run,rawid,id
84,/vol/cluster-data/rchen/wgr/data/processed/D229679_E100048217_L01_ANIqvhbR216106-645.sorted.bam,D229679_E100048217_L01_ANIqvhbR216106-645.sorted.bam,D229679,E100048217,L01,ANIqvhbR216106-645.sorted.bam,D229679,D229679
85,/vol/cluster-data/rchen/wgr/data/processed/D229705k_E100048228_L01_ANIqvhbR216080-636.sorted.bam,D229705k_E100048228_L01_ANIqvhbR216080-636.sorted.bam,D229705k,E100048228,L01,ANIqvhbR216080-636.sorted.bam,D229705,D229705
86,/vol/cluster-data/rchen/wgr/data/processed/D229707k_E100042332_L01_ANIscleR181546-606.sorted.bam,D229707k_E100042332_L01_ANIscleR181546-606.sorted.bam,D229707k,E100042332,L01,ANIscleR181546-606.sorted.bam,D229707,D229707
87,/vol/cluster-data/rchen/wgr/data/processed/D229714k_E100048228_L01_ANIqvhbR216081-650.sorted.bam,D229714k_E100048228_L01_ANIqvhbR216081-650.sorted.bam,D229714k,E100048228,L01,ANIqvhbR216081-650.sorted.bam,D229714,D229714
88,/vol/cluster-data/rchen/wgr/data/processed/D229716k_E100041398_L01_ANIscleR181540-766.sorted.bam,D229716k_E100041398_L01_ANIscleR181540-766.sorted.bam,D229716k,E100041398,L01,ANIscleR181540-766.sorted.bam,D229716,D229716
89,/vol/cluster-data/rchen/wgr/data/processed/D229718k_E100041398_L01_ANIscleR181541-767.sorted.bam,D229718k_E100041398_L01_ANIscleR181541-767.sorted.bam,D229718k,E100041398,L01,ANIscleR181541-767.sorted.bam,D229718,D229718
90,/vol/cluster-data/rchen/wgr/data/processed/D229721k_E100042332_L01_ANIscleR181556-622.sorted.bam,D229721k_E100042332_L01_ANIscleR181556-622.sorted.bam,D229721k,E100042332,L01,ANIscleR181556-622.sorted.bam,D229721,D229721
91,/vol/cluster-data/rchen/wgr/data/processed/D229734k_E100042332_L01_ANIscleR181542-768.sorted.bam,D229734k_E100042332_L01_ANIscleR181542-768.sorted.bam,D229734k,E100042332,L01,ANIscleR181542-768.sorted.bam,D229734,D229734
92,/vol/cluster-data/rchen/wgr/data/processed/D229737k_E100042332_L01_ANIscleR181557-632.sorted.bam,D229737k_E100042332_L01_ANIscleR181557-632.sorted.bam,D229737k,E100042332,L01,ANIscleR181557-632.sorted.bam,D229737,D229737
93,/vol/cluster-data/rchen/wgr/data/processed/D229740_E100037246_L1_ANIbthxR167793-766.sorted.bam,D229740_E100037246_L1_ANIbthxR167793-766.sorted.bam,D229740,E100037246,L1,ANIbthxR167793-766.sorted.bam,D229740,D229740
94,/vol/cluster-data/rchen/wgr/data/processed/D229742k_E100048228_L01_ANIqvhbR216082-660.sorted.bam,D229742k_E100048228_L01_ANIqvhbR216082-660.sorted.bam,D229742k,E100048228,L01,ANIqvhbR216082-660.sorted.bam,D229742,D229742
