COL11A1
RGS7
SSR1
EML1
PPP1R12A
MRPL3
GFOD1
LOC107053980
ABRA
ALMS1
CAND1
DRD3
FGFR1OP2
KPNA3
LOC121106514
MBNL1
MOBP
MYO9A
NT5C1B
OXR1
PCDH18
PEX13
PQLC1
PTPRN2
PYGB
SHROOM2
SLC35E3
STX17
SYNGR1
TFG
ZNF407
DLEU7
ESCO2
LOC112531841
LOC121106836
NUP205
PHIP
SPICE1
STAT4
TRIQK
VWDE
ACTR3B
BDH1A
CLDN8
DCP1A
DERL1
EMILIN2
EPHX1
FAM8A1
FARP2
FGF14
GGACT
ITGA11
JMJD1C
LOC101748400
LOC107052954
LOC107054060
LOC112531773
LOC121109437
LOC121109803
LOC121110192
LOC124417604
LOC428499
MAGI1
MAML2
MGP
MON2
MYB
NAA16
NDUFB2
PCDH17
PM20D2
PPP4R3A
PTMS
PUS7L
RASSF8
RBM26
STX11
SYNE1
TDRD6
TIMP3
TLR5
TRIM2
WNT16
ABCC10
ABCC5
ABCC8
ABHD10
ABLIM1
ACAT1
ACBD5
ACTR2
ACTR6
ADAM23
ADAMTSL3
ADD3
ADGRL2
ADHFE1
ADPRHL1
ADRA1D
ADTRP
AGPAT3
AHNAK2
AHSA2
ALG5
AMER3
AMPH
ANAPC1
ANK2
ANKRD10
ANKRD29
ANKRD6
ANKRD9L
APOLD1
ARHGAP12
ARHGDIB
ARL8B
ARMC8
ASB13
ASCL4
ATP13A3
ATP6V1E1
ATVR1
BAIAP2L2
BCL9
BEND3
BEND5
BEST3
BSN
BTBD11
C11orf54
C1S
CACNA1C
CAPN11
CCDC174
CCDC178
CCSAP
CD101
CD2
CD200
CDAN1
CDC42BPA
CDH17
CDH19
CELSR1
CENPM
CEP126
CGA
CHGB
CLASP2
CLDN34
COL6A1
COQ8A
CRACD
CREB3L2
CYBB
DAG1
DCBLD1
DCHS1
DDB2
DENND5B
DEPDC1
DIP2C
DIS3L
DLG2
DNAH5
DNAJC6
DOCK10
DOPEY2
DTNB
EDRF1
EIF2B5
ELF1
ELOVL6
ENPP1
EPHA3
EPHA4
EPS8L2
EPYC
ETNPPL
EXO1
FAM110C
FAM210A
FAM3C
FAM46C
FAM65B
FBXO25
FBXO34
FEZ2
FGD3
FGD4
FKBP1B
FKBP4
FNDC1
FOXJ3
FRS2
GABPA
GALNT7
GALNTL6
GCH1
GDPD5
GLCE
GLRB
GLTSCR1L
GPC1
GPR141
GPR149
GPR156
GPR22
GRAMD1C
GRID2
GTF2A1L
GTF2E1
HCRTR2
HDLBP
HEATR1
HJURP
HS3ST5
HSPA12A
IFNGR2
IL17RA
ILDR1
ITIH5
KATNAL1
KCNAB1
KCND2
KCNF1
KCNJ8
KCTD1
KCTD14
KDM3A
KIF14
KIF18A
KLC1
KLF15
KMT2E
LAPTM4B
LIMS1
LINC00954
LINS1
LOC101748526
LOC101748992
LOC101749281
LOC101749503
LOC101749506
LOC101749734
LOC101750039
LOC101750283
LOC101750546
LOC101750820
LOC101751234
LOC101751662
LOC101751892
LOC101751989
LOC107052157
LOC107052681
LOC107053161
LOC107053559
LOC107053682
LOC107053802
LOC107054017
LOC107054133
LOC107056158
LOC107057105
LOC112530033
LOC112531506
LOC112531516
LOC112531766
LOC112531833
LOC112531873
LOC112531926
LOC112532525
LOC112533148
LOC112533182
LOC112533274
LOC112533636
LOC121106532
LOC121106591
LOC121107291
