parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
b_Intercept,0.95,0.8,median,1.16435969259912,1.35930224277865,1.7730629649452,2.14002957822122,2.42717223430935
b_scalehom_load,0.95,0.8,median,-0.723174086203226,-0.692255524825727,-0.55865851307363,-0.451765631389111,-0.416986104953997
b_scalehet_load,0.95,0.8,median,-0.77067980165801,-0.718623271870791,-0.591603781324644,-0.485819870250271,-0.428338642491057
b_coreno_core,0.95,0.8,median,0.161338488815298,0.215909348061913,0.328552733758165,0.456572316809325,0.50309995878179
sd_site__Intercept,0.95,0.8,median,0.298954476844706,0.356754729933516,0.605449500580809,1.13936648546127,1.65414115125865
zi,0.95,0.8,median,0.414418159496056,0.442685448419691,0.492184594066261,0.54494628376925,0.576902671327659
Intercept,0.95,0.8,median,1.19451287618951,1.39225206971853,1.80783360721912,2.18506280009613,2.47026272777032
r_site[KUM,Intercept],0.95,0.8,median,-0.822034678583845,-0.491555481008824,-0.103648137713362,0.284380736889703,0.542593664522819
r_site[LEH,Intercept],0.95,0.8,median,-1.24060678443189,-0.922636228223679,-0.429382959808227,-0.00680749184879664,0.194806384605605
r_site[NYR,Intercept],0.95,0.8,median,-0.961964013469231,-0.589306145226065,-0.196902838496385,0.18694157513768,0.417321619472577
r_site[SAA,Intercept],0.95,0.8,median,0.0541915608411501,0.388341413112543,0.743271826607003,1.19387559577351,1.31169719739864
r_site[TEE,Intercept],0.95,0.8,median,-0.534967748728411,-0.351787313122831,0.0719129137247131,0.450198707403562,0.707885821487451
lprior,0.95,0.8,median,-23.7710955953323,-23.6333453715571,-23.538611659818,-23.5129181654209,-23.5073409089569
lp__,0.95,0.8,median,-606.420020573984,-603.748625075169,-599.061091614311,-596.402098804565,-595.270966712887
