parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
b_Intercept,0.95,0.8,median,-0.189903256893421,-0.0970791724308343,0.0769577220475793,0.221377600809449,0.309530729985264
b_siteLEH,0.95,0.8,median,-0.577487526180611,-0.472414308970401,-0.190094569880278,0.0831969115497535,0.265522553692091
b_siteNYR,0.95,0.8,median,-0.44355881526423,-0.344253452131063,-0.120430872318899,0.100272453311568,0.185555175881436
b_siteSAA,0.95,0.8,median,-0.587229313210765,-0.451577844856754,-0.10883584672491,0.166491467073514,0.334058973688691
b_siteTEE,0.95,0.8,median,-0.428683685476766,-0.231717190580158,0.0342074073516595,0.454564246702148,0.564029765309158
sigma,0.95,0.8,median,0.917690458826087,0.943516863977695,1.00859948407677,1.07384678232802,1.10540422376998
Intercept,0.95,0.8,median,-0.147277026680881,-0.103845258504778,-0.00408780928188708,0.0937547498790939,0.130967622299949
lprior,0.95,0.8,median,-7.32039634124244,-7.21053653636473,-7.04152732982281,-6.95785625188637,-6.93314300048991
lp__,0.95,0.8,median,-282.417403373361,-280.883068738913,-278.205689540606,-276.497363905423,-276.066216410504
