"id"	"het_load"	"hom_load"	"total_load"	"loadtype"
"D154259"	0.140026132404181	0.0977787456445993	0.16779181184669	"high"
"D154280"	0.144580735974261	0.0957168711039614	0.168007239091092	"high"
"D154299"	0.149644202595228	0.0912515696944328	0.166073670992047	"high"
"D229167"	0.146146341463415	0.0932682926829268	0.166341463414634	"high"
"D229170"	0.145429633979252	0.0900371892738305	0.162752006263457	"high"
"D211308"	0.14328597158295	0.0936561937162297	0.165299179507705	"high"
"D211312"	0.153654485049834	0.0892857142857143	0.166112956810631	"high"
"D211320"	0.148540583766493	0.085765693722511	0.160035985605758	"high"
"D211334"	0.139795664091702	0.0919511587341141	0.161848990779965	"high"
"D211341"	0.155012802836321	0.0906046878077605	0.168111089225921	"high"
"D211349"	0.1479793977813	0.0923137876386688	0.166303486529319	"high"
"D211350"	0.160663236134934	0.0880503144654088	0.168381932532876	"high"
"D211374"	0.15082284607938	0.0873184898354308	0.162729912875121	"high"
"D211385"	0.144917737209826	0.0906017579445571	0.16306062654947	"high"
"D211401"	0.142795606289037	0.0951970708593582	0.166594874003877	"high"
"D211403"	0.146165610662006	0.0919816473672711	0.165064452698274	"high"
"D211411"	0.142529614061903	0.0955292319449752	0.166794038975927	"high"
"D211412"	0.144461657629744	0.0914020139426801	0.163632842757552	"high"
"D211431"	0.143620178041543	0.0931750741839763	0.164985163204748	"high"
"D211435"	0.14393063583815	0.0967244701348748	0.16868978805395	"high"
"D211438"	0.152506697282817	0.0912743972445465	0.167527745885955	"high"
"D211445"	0.148432501599488	0.0882917466410749	0.162507997440819	"high"
"D211450"	0.16059379217274	0.0873337189126663	0.167630614999036	"high"
"D211451"	0.145065135791565	0.0940604990064032	0.166593066902186	"high"
"D211456"	0.13283466597885	0.0928553004900696	0.159272633479494	"high"
"D211461"	0.139552814186584	0.0956052428681573	0.165381649961449	"high"
"D211474"	0.148115687992989	0.0959684487291849	0.170026292725679	"high"
"D211478"	0.15702005730659	0.089207258834766	0.167717287488061	"high"
"D211482"	0.144774688398849	0.0914669223394056	0.16385426653883	"high"
"D211489"	0.151104223169314	0.089500193723363	0.16505230530802	"high"
"D211490"	0.140621782993617	0.0940910026765493	0.164401894173358	"high"
"D217810"	0.146526561587858	0.094765518583382	0.168028799377311	"high"
"D217818"	0.144845034788109	0.0942441492726123	0.166666666666667	"high"
"D217821"	0.149420695165801	0.0950858969236916	0.169796244506592	"high"
"D217831"	0.146661031276416	0.0868554522400676	0.160185967878276	"high"
"D217835"	0.150959860383944	0.0955497382198953	0.171029668411867	"high"
"D217864"	0.142356819118253	0.0951792336217552	0.166357643180882	"high"
"D217870"	0.144366197183099	0.0933098591549296	0.165492957746479	"high"
"D217891"	0.138771890933274	0.0911106184881401	0.160496563954777	"high"
"D217896"	0.146366639141206	0.0947563996696945	0.167939719240297	"high"
"D217897"	0.13440300062513	0.0950197957907897	0.162221296103355	"high"
"D217910"	0.142886683209264	0.0924317617866005	0.163875103391232	"high"
"D217911"	0.140789745710151	0.0944800496175315	0.164874922472607	"high"
"D217932"	0.147560975609756	0.0914634146341463	0.165243902439024	"high"
"D217947"	0.144696066746126	0.0941597139451728	0.166507747318236	"high"
"D217949"	0.146746476153698	0.0886271480980884	0.162000386174937	"high"
"D217961"	0.145674300254453	0.0905428329092451	0.163379983036472	"high"
"D217964"	0.148825567963034	0.087986137851367	0.162398921832884	"high"
"D217965"	0.150546504433904	0.0940400082491235	0.169313260466075	"high"
"D217969"	0.149377593360996	0.0894421392346704	0.164130935915168	"high"
"D217977"	0.14507874015748	0.0903543307086614	0.162893700787402	"high"
"D217993"	0.141328090869375	0.0921799912625601	0.162844036697248	"high"
"D229025"	0.139803707742639	0.0926935659760087	0.162595419847328	"high"
"D229032"	0.143017512348451	0.0889088459811405	0.160417602155366	"high"
"D229043"	0.135068431680503	0.0901951985640565	0.157729414404308	"high"
"D229051"	0.145516074450085	0.0928208846990573	0.1655789219241	"high"
"D229054"	0.147052518756699	0.0904608788853162	0.163987138263666	"high"
"D229055"	0.142460041695622	0.0896455872133426	0.160875608061154	"high"
"D229056"	0.152458366375892	0.0919904837430611	0.168219666931007	"high"
"D229063"	0.144985312631137	0.0902224087284935	0.162715065044062	"high"
"D229082"	0.143920068027211	0.0909863945578231	0.162946428571429	"high"
"D229093"	0.149364613880743	0.0940371456500489	0.16871945259042	"high"
"D229096"	0.14679802955665	0.0941871921182266	0.167586206896552	"high"
"D229097"	0.138330286410725	0.0916108064188503	0.160775949624213	"high"
"D229103"	0.142796066695169	0.0908507909362976	0.162248824283882	"high"
"D229126"	0.155859607376562	0.0890343049771961	0.166964108665477	"high"
"D229133"	0.147624897624898	0.085995085995086	0.159807534807535	"high"
"D229154"	0.140258690379952	0.0901374292643492	0.160266774454325	"high"
"D229155"	0.143912175648703	0.0888223552894212	0.160778443113772	"high"
"D229160"	0.142945290004114	0.095433977786919	0.166906622788976	"high"
"D229161"	0.144975976603301	0.089617714643827	0.162105702945477	"high"
"D229162"	0.151281557140104	0.0882636346116785	0.163904413181731	"high"
"D229164"	0.147527584797711	0.0852063751532489	0.158970167552105	"high"
