parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
b_Intercept,0.95,0.8,median,-0.171078620212249,-0.0851846891860184,0.0818364681730867,0.239659306138549,0.334234067102401
b_siteLEH,0.95,0.8,median,-0.473545124146937,-0.321303305858934,-0.0299610865718915,0.250723414527573,0.406000269904306
b_siteNYR,0.95,0.8,median,-0.413692456181001,-0.298921172394926,-0.0521675602639608,0.186767527022758,0.324495384012871
b_siteSAA,0.95,0.8,median,-0.727345397403964,-0.580398239643511,-0.287655160922119,0.0125368764910102,0.132705717287705
b_siteTEE,0.95,0.8,median,-0.653727797674711,-0.491686537853634,-0.16664516002509,0.161230385573379,0.33449512453293
sigma,0.95,0.8,median,0.915556657997833,0.945698514839018,1.00828949463169,1.07711928089126,1.1240699441983
Intercept,0.95,0.8,median,-0.14601533196402,-0.0917819939471269,0.00232435226181542,0.0909696057383443,0.140551469940308
lprior,0.95,0.8,median,-7.40309589804286,-7.24486508186732,-7.04980492976214,-6.96066111081015,-6.93996596637079
lp__,0.95,0.8,median,-282.17960328487,-280.239915487052,-277.71830384209,-276.125767175182,-275.65580408719
