parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
b_Intercept,0.95,0.8,median,-0.0770178341293832,0.0133674632876621,0.165081097679206,0.326187564231181,0.40274764626279
b_siteLEH,0.95,0.8,median,-0.994269462916291,-0.851033759370072,-0.577519437566601,-0.296836704880746,-0.154718817144396
b_siteNYR,0.95,0.8,median,-0.443422917161507,-0.332927388886101,-0.0990238404375008,0.123414052453156,0.258082858155562
b_siteSAA,0.95,0.8,median,-0.707667989027525,-0.548258837267023,-0.265273999774691,0.0157977596905436,0.164180762141833
b_siteTEE,0.95,0.8,median,-0.554124309474455,-0.39373081352649,-0.0896116069100008,0.214199725319176,0.38971549307713
sigma,0.95,0.8,median,0.90329725810263,0.93135003483129,0.992424733992118,1.06321922320284,1.10095789244166
Intercept,0.95,0.8,median,-0.138746540959081,-0.0895552585153028,0.00340293125510365,0.094217838365724,0.142616506418913
lprior,0.95,0.8,median,-7.69336192581755,-7.47863662263341,-7.18873299497269,-7.02654031232697,-6.97534982612686
lp__,0.95,0.8,median,-279.120393998191,-277.384925543626,-274.854939696586,-273.306683261021,-272.843506847999
