id	n_total	n_genotyped	load_p	load_r	load_t
D154259	5130	4434	0.13396481732070364	0.08615245827695084	0.22011727559765448
D154280	5130	4736	0.14442567567567569	0.08382601351351351	0.2282516891891892
D154299	5130	4599	0.14394433572515763	0.0791476407914764	0.22309197651663404
D229167	5130	4940	0.13927125506072874	0.08279352226720647	0.22206477732793523
D229170	5130	4889	0.14461034976477807	0.07915729187973	0.22376764164450808
D211308	5130	4785	0.1251828631138976	0.08944618599791014	0.21462904911180775
D211312	5130	4678	0.14600256519880292	0.07866609662248825	0.22466866182129114
D211320	5130	4805	0.14297606659729448	0.07950052029136316	0.22247658688865765
D211334	5130	3913	0.12931254791719907	0.08382315359059545	0.21313570150779454
D211341	5130	4865	0.14799588900308325	0.07810894141829394	0.2261048304213772
D211349	5130	4840	0.14235537190082645	0.08326446280991735	0.2256198347107438
D211350	5130	5033	0.15299026425591097	0.07768726405722233	0.23067752831313332
D211374	5130	4963	0.14950634696755993	0.07757404795486601	0.22708039492242596
D211385	5130	4202	0.14612089481199428	0.0794859590671109	0.2256068538791052
D211401	5130	4423	0.14311553244404251	0.0841058105358354	0.22722134297987792
D211403	5130	4374	0.14014631915866485	0.08344764517604024	0.22359396433470508
D211411	5130	5029	0.14456154305030822	0.08411214953271028	0.2286736925830185
D211412	5130	4955	0.1420787083753784	0.08234106962663976	0.22441977800201815
D211431	5130	4869	0.13883754364345863	0.08194701170671596	0.22078455535017458
D211435	5130	4990	0.13587174348697395	0.08557114228456913	0.22144288577154309
D211438	5130	5012	0.14604948124501196	0.08140462889066241	0.22745411013567438
D211445	5130	4550	0.14373626373626375	0.0789010989010989	0.22263736263736264
D211450	5130	4986	0.14981949458483754	0.08162855996791014	0.2314480545527477
D211451	5130	4331	0.14038328330639574	0.0812745324405449	0.22165781574694066
D211456	5130	3724	0.13157894736842105	0.08190118152524167	0.21348012889366272
D211461	5130	4983	0.13425647200481639	0.08328316275336142	0.2175396347581778
D211474	5130	4358	0.14295548416704912	0.0830656264341441	0.2260211106011932
D211478	5130	5029	0.15152117717240007	0.07894213561344203	0.23046331278584212
D211482	5130	5007	0.140203714799281	0.07689235070900739	0.2170960655082884
D211489	5130	4926	0.14494518879415347	0.07957775071051564	0.2245229395046691
D211490	5130	4656	0.13724226804123713	0.08634020618556701	0.22358247422680413
