,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),0.0371501059588718,0.129497518382796,0.286878902567505,0.774526092324419
siteLEH,0.0913524532180533,0.226859750597218,0.402682507485635,0.687646732652301
siteNYR,0.0323113520216124,0.188155532023303,0.171726824474184,0.863839995784596
siteSAA,-0.221734277760482,0.232455159535429,-0.953879785691257,0.34138918762489
siteTEE,-0.27328643925717,0.258995036765592,-1.05518021762136,0.292718970422166
